seller_id,seller_name,sell_product_category,reg_date,active_status,city,state
SELL00001,Barad PLC,clothing,05-03-2024,Inactive,Salem,Tamil Nadu
SELL00002,Mall PLC,"clothing, sports",04-04-2022,Active,Salem,Tamil Nadu
SELL00003,Patel-Chaudry,"beauty, Electronics",21-01-2022,Active,Bhubaneswar,Odisha
SELL00004,Ravi Group,"beauty, Furniture",24-08-2024,Active,Kolkata,West Bengal
SELL00005,Kapoor Ltd,sports,02-06-2021,Inactive,Mumbai,Maharashtra
SELL00006,Pradhan LLC,Electronics,02-10-2024,Active,Faridabad,Haryana
SELL00007,Yogi LLC,beauty,02-08-2022,Active,Chennai,Tamil Nadu
SELL00008,Krishnamurthy-Sankaran,"sports, Electronics",07-07-2024,Active,Kozhikode,Kerala
SELL00009,Bhargava and Sons,"home, sports",02-02-2022,Inactive,Aurangabad,Maharashtra
SELL00010,"Sarna, Pal and Sundaram",beauty,28-09-2022,Active,Lucknow,Uttar Pradesh
