product_sk,product_id,product_name,brand,sku,category_id,category_name,supplier_id,supplier_name,supplier_type,mrp,selling_price,cost_price,product_rating,total_reviews,product_status,is_returnable,launch_date,effective_start_date,effective_end_date,is_current
1,PROD000002,Boat BassX 2739,Boat,SKU-BOA-HEA-8401,CAT0012,Headphones,SUP0112,CozyCushion Home Furnishings,Marketplace Seller,144098.0,86458.8,52967.71,2.7,45815,ACTIVE,true,2023-09-12,2026-06-07,9999-12-31,true
8,PROD000009,Nivia A13 5472,Nivia,SKU-NIV-FIT-1874,CAT0084,Fitness Equipment,SUP0132,AromaTherapy Essential Oils,Wholesaler,39133.0,26610.44,19728.92,3.1,4684,ACTIVE,true,2024-08-26,2026-06-07,9999-12-31,true
12,PROD000014,Puma Sprint 2915,Puma,SKU-PUM-FOO-7105,CAT0043,Footwear,SUP0058,Royal Heritage Textiles,Distributor,103611.0,75636.03,46479.93,3.7,22679,ACTIVE,true,2025-10-14,2026-06-07,9999-12-31,true
19,PROD000021,Mamaearth onion shampoo 3733,Mamaearth,SKU-MAM-HAI-7314,CAT0078,Haircare,SUP0194,Bullseye Archery Equipment,Wholesaler,11349.0,7036.38,5829.51,3.9,30484,ACTIVE,true,2025-12-09,2026-06-07,9999-12-31,true
36,PROD000039,HRX Relaxed Fit 6697,HRX,SKU-HRX-MEN-3279,CAT0020,Men Clothing,SUP0148,NaturalEssence Soap Mills,Retail Vendor,143011.0,102967.92,65695.18,3.3,3861,ACTIVE,true,2023-08-06,2026-06-07,9999-12-31,true
45,PROD000048,Pepe Jeans Slim Fit 9875,Pepe Jeans,SKU-PEP-WOM-2050,CAT0032,Women Clothing,SUP0173,SuperSaver FMCG Distributors,Distributor,119992.0,83994.4,50475.5,3.6,1058,ACTIVE,true,2025-04-03,2026-06-07,9999-12-31,true
48,PROD000051,H&M Relaxed Fit 5393,H&M,SKU-H&M-MEN-1206,CAT0020,Men Clothing,SUP0123,RusticCraft Wooden Designs,Wholesaler,11536.0,10843.84,8120.65,3.2,41114,ACTIVE,true,2025-06-24,2026-06-07,9999-12-31,true
49,PROD000052,Levis Regular Fit 1997,Levis,SKU-LEV-MEN-3530,CAT0020,Men Clothing,SUP0190,AquaSwim Pool Accessories,Retail Vendor,61691.0,51203.53,41799.89,3.5,2136,ACTIVE,true,2025-07-23,2026-06-07,9999-12-31,true
68,PROD000073,Lenovo Pavallion 4231,Lenovo,SKU-LEN-LAP-4482,CAT0009,Laptops,SUP0109,StainlessCraft Heavy Metal,Wholesaler,129443.0,90610.1,70810.44,4.3,49997,ACTIVE,true,2024-02-16,2026-06-07,9999-12-31,true
78,PROD000084,Samsung Galaxy s17 7415,Samsung,SKU-SAM-MOB-9601,CAT0006,Mobiles,SUP0044,Sutra Weaves & Textiles,Distributor,72783.0,53131.59,39674.3,4.8,9153,ACTIVE,true,2024-03-22,2026-06-07,9999-12-31,true
83,PROD000089,Motorola Galaxy s17 pro 3883,Motorola,SKU-MOT-MOB-7807,CAT0006,Mobiles,SUP0003,Sharma Retail Suppliers,Retail Vendor,88735.0,70988.0,46571.88,3.3,29559,ACTIVE,true,2023-09-17,2026-06-07,9999-12-31,true
94,PROD000100,Lakmé Acne cream 8211,Lakmé,SKU-LAK-SKI-8206,CAT0071,Skincare,SUP0108,DreamSleep Mattress Co.,Distributor,103946.0,64446.52,51109.46,2.6,47253,ACTIVE,true,2025-03-02,2026-06-07,9999-12-31,true
102,PROD000108,OnePlus iPhone 12 9812,OnePlus,SKU-ONE-MOB-1308,CAT0006,Mobiles,SUP0098,OakWood Hardwood Furnishings,Distributor,58784.0,42324.48,30432.02,4.5,47916,ACTIVE,false,2023-07-02,2026-06-07,9999-12-31,true
112,PROD000119,Yonex A13 1905,Yonex,SKU-YON-FIT-5933,CAT0084,Fitness Equipment,SUP0039,TechNova Fulfillment Hub,Internal Warehouse Supplier,44996.0,42746.2,31987.99,4.5,1066,ACTIVE,true,2024-05-26,2026-06-07,9999-12-31,true
123,PROD000130,HRX Relaxed Fit 2241,HRX,SKU-HRX-MEN-8757,CAT0020,Men Clothing,SUP0106,OrganizedLiving Plasticware,Retail Vendor,131983.0,100307.08,85198.28,3.3,37337,ACTIVE,true,2024-02-23,2026-06-07,9999-12-31,true
137,PROD000144,HRX Slim Fit 6038,HRX,SKU-HRX-WOM-1637,CAT0032,Women Clothing,SUP0168,Hyderabad Pharma & Cosmetics Depot,Internal Warehouse Supplier,17278.0,12958.5,7907.06,3.3,12817,ACTIVE,false,2023-10-24,2026-06-07,9999-12-31,true
148,PROD000156,Wrangler Slim Fit 3067,Wrangler,SKU-WRA-WOM-7251,CAT0032,Women Clothing,SUP0179,Olympic Sports Wholesalers,Wholesaler,5475.0,3668.25,2947.0,3.9,25195,ACTIVE,true,2023-10-17,2026-06-07,9999-12-31,true
150,PROD000158,Samsung infinity 3487,Samsung,SKU-SAM-MOB-2199,CAT0006,Mobiles,SUP0018,Optima Network Infrastructure,Wholesaler,2451.0,2156.88,1734.25,3.4,5654,ACTIVE,true,2025-06-18,2026-06-07,9999-12-31,true
169,PROD000177,Yonex A13 6221,Yonex,SKU-YON-FIT-8326,CAT0084,Fitness Equipment,SUP0040,TechPort Terminal,Internal Warehouse Supplier,18036.0,13887.72,11196.93,2.5,9730,OUT_OF_STOCK,true,2026-05-02,2026-06-07,9999-12-31,true
171,PROD000179,The Derma Co Anti-dendruff 2508,The Derma Co,SKU-THE-HAI-3216,CAT0078,Haircare,SUP0108,DreamSleep Mattress Co.,Distributor,31624.0,23401.76,16386.31,3.3,47769,ACTIVE,true,2023-09-04,2026-06-07,9999-12-31,true
182,PROD000190,Lotus Herbals Sheet-mask 9689,Lotus Herbals,SKU-LOT-SKI-1553,CAT0071,Skincare,SUP0137,Radiant Skin Care Agencies,Wholesaler,32007.0,24645.39,15854.14,4.7,36927,ACTIVE,false,2024-02-03,2026-06-07,9999-12-31,true
186,PROD000194,Wrangler Relaxed Fit 2111,Wrangler,SKU-WRA-MEN-6368,CAT0020,Men Clothing,SUP0133,ProHair Salon Supplies,Retail Vendor,25205.0,23440.65,19169.28,3.3,47748,ACTIVE,false,2025-06-18,2026-06-07,9999-12-31,true
193,PROD000201,The Derma Co body gel 290,The Derma Co,SKU-THE-HAI-2946,CAT0078,Haircare,SUP0091,SteelLine Culinary Utensils,Distributor,77867.0,51392.22,31977.18,3.9,34421,OUT_OF_STOCK,false,2024-09-10,2026-06-07,9999-12-31,true
202,PROD000210,MSI Pavallion 4251,MSI,SKU-MSI-LAP-6707,CAT0009,Laptops,SUP0030,CyberShield Device Vendors,Retail Vendor,47366.0,29840.58,24141.88,3.8,21448,ACTIVE,true,2023-06-26,2026-06-07,9999-12-31,true
218,PROD000228,Adidas AirMax 9180,Adidas,SKU-ADI-FOO-9089,CAT0043,Footwear,SUP0131,BioDerma Skincare Labs,Wholesaler,95891.0,62329.15,47199.55,4.6,21589,ACTIVE,true,2025-10-09,2026-06-07,9999-12-31,true
244,PROD000254,Xiaomi infinity 3042,Xiaomi,SKU-XIA-MOB-4879,CAT0006,Mobiles,SUP0090,ComfortSeating Chair Corp,Wholesaler,90436.0,83201.12,52093.64,5.0,33341,DISCONTINUED,true,2024-03-15,2026-06-07,9999-12-31,true
245,PROD000255,Bata Zoom 389,Bata,SKU-BAT-FOO-8436,CAT0043,Footwear,SUP0086,Elite Home Products,Wholesaler,70623.0,53673.48,32870.91,4.7,21962,ACTIVE,true,2025-01-13,2026-06-07,9999-12-31,true
248,PROD000258,Realme iPhone 16 785,Realme,SKU-REA-MOB-5807,CAT0006,Mobiles,SUP0126,ValuePlus Variety Wholesale,Wholesaler,86915.0,79092.65,56860.17,3.4,15451,ACTIVE,false,2025-05-13,2026-06-07,9999-12-31,true
273,PROD000284,ASUS Legion 4641,ASUS,SKU-ASU-LAP-8538,CAT0009,Laptops,SUP0191,LeatherBalls Sporting Goods,Wholesaler,104620.0,85788.4,55210.1,4.9,44847,ACTIVE,true,2025-11-24,2026-06-07,9999-12-31,true
294,PROD000305,MSI Inspiron 4227,MSI,SKU-MSI-LAP-8696,CAT0009,Laptops,SUP0098,OakWood Hardwood Furnishings,Distributor,79104.0,71984.64,48459.51,3.7,26362,ACTIVE,true,2023-10-01,2026-06-07,9999-12-31,true
298,PROD000309,Mamaearth Anti-dendruff 2628,Mamaearth,SKU-MAM-HAI-7880,CAT0078,Haircare,SUP0097,GlassWare Premium Outlets,Retail Vendor,135657.0,89533.62,57981.54,3.6,42513,OUT_OF_STOCK,false,2024-06-09,2026-06-07,9999-12-31,true
315,PROD000326,Nivia A13 6920,Nivia,SKU-NIV-FIT-9148,CAT0084,Fitness Equipment,SUP0199,StrikeRate Cricket Gear,Wholesaler,147040.0,110280.0,83578.51,4.7,45585,ACTIVE,true,2026-05-20,2026-06-07,9999-12-31,true
338,PROD000349,Apple Legion 8284,Apple,SKU-APP-LAP-1729,CAT0009,Laptops,SUP0204,SwiftRun Athletic Footwear,Wholesaler,24979.0,21481.94,16575.11,2.9,7730,ACTIVE,true,2023-12-28,2026-06-07,9999-12-31,true
343,PROD000354,Nike Zoom 6176,Nike,SKU-NIK-FOO-5132,CAT0043,Footwear,SUP0152,Lotus Petals Cosmetics,Wholesaler,118959.0,102304.74,62635.61,4.2,9539,ACTIVE,true,2024-05-11,2026-06-07,9999-12-31,true
346,PROD000357,Noise AirBeat 9064,Noise,SKU-NOI-HEA-2148,CAT0012,Headphones,SUP0210,DefenseShield Martial Arts,Retail Vendor,111183.0,76716.27,48279.98,4.1,26648,ACTIVE,true,2024-07-29,2026-06-07,9999-12-31,true
374,PROD000386,Acer Predator 4003,Acer,SKU-ACE-LAP-1357,CAT0009,Laptops,SUP0029,TeleConnect Hardware Co.,Wholesaler,112672.0,101404.8,75912.16,,21323,ACTIVE,true,2025-04-03,2026-06-07,9999-12-31,true
